ID,Name,Is_free,Is_PVP,Genre_Acción,Genre_Aventura,Genre_Carreras,Genre_Casual,Genre_Deportes,Genre_Estrategia,Genre_Indie,Genre_Multijugador masivo,Genre_Rol,Genre_Simuladores,Mixed,Multijugador,Un jugador,Gano_GOTY
394510,HELLDIVERS™ Dive Harder Edition,False,False,1,0,0,0,0,0,0,0,0,0,True,False,False,False
396750,EVERSPACE™,False,False,1,0,0,0,0,0,1,0,0,0,False,False,True,False
403640,Dishonored 2,False,False,1,0,0,0,0,0,0,0,0,0,False,False,True,False
410900,Forts,False,True,1,0,0,0,0,1,1,0,0,0,True,False,False,False
411300,ELEX,False,False,1,1,0,0,0,0,0,0,1,0,False,False,True,False
412020,Metro Exodus,False,False,1,0,0,0,0,0,0,0,0,0,False,False,True,False
414340,Hellblade: Senua's Sacrifice,False,False,1,1,0,0,0,0,1,0,0,0,False,False,True,False
414700,Outlast 2,False,False,1,1,0,0,0,0,1,0,0,0,False,False,True,False
415200,Motorsport Manager,False,False,0,0,1,0,1,1,0,0,0,1,False,False,True,False
418240,Shadow Tactics: Blades of the Shogun,False,False,0,0,0,0,0,1,1,0,0,0,False,False,True,False
418370,Resident Evil 7 Biohazard,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
418460,Rising Storm 2: Vietnam,False,True,1,0,0,0,0,1,0,1,0,1,False,True,False,False
418530,Spelunky 2,False,True,1,0,0,0,0,0,1,0,0,0,True,False,False,False
423230,Furi,False,False,1,0,0,0,0,0,1,0,0,0,False,False,True,False
427290,Vampyr,False,False,1,0,0,0,0,0,0,0,1,0,False,False,True,False
427520,Factorio,False,False,0,0,0,1,0,1,1,0,0,1,True,False,False,False
428550,Momodora: Reverie Under The Moonlight,False,False,1,1,0,0,0,0,1,0,0,0,False,False,True,False
429660,Tales of Berseria™,False,False,1,0,0,0,0,0,0,0,1,0,False,False,True,False
433340,Slime Rancher,False,False,1,1,0,0,0,0,1,0,0,1,False,False,True,False
433850,Z1 Battle Royale,True,True,1,1,0,0,0,0,0,1,0,0,False,True,False,False
437920,Tricky Towers,False,True,0,0,0,1,0,0,1,0,0,0,False,False,True,False
445980,Wizard of Legend,False,False,1,1,0,0,0,0,1,0,0,0,True,False,False,False
446800,Transport Fever,False,False,0,0,0,0,0,0,0,0,0,1,False,False,True,False
447020,Farming Simulator 17,False,False,0,0,0,0,0,0,0,0,0,1,True,False,False,False
447530,VA-11 Hall-A: Cyberpunk Bartender Action,False,False,0,1,0,0,0,0,1,0,0,1,False,False,True,False
447820,Day of Infamy,False,True,1,0,0,0,0,1,1,0,0,0,False,True,False,False
449960,Book of Demons,False,False,1,1,0,1,0,0,1,0,1,0,False,False,True,False
454650,DRAGON BALL XENOVERSE 2,False,True,1,1,0,1,0,0,0,1,0,0,True,False,False,False
457140,Oxygen Not Included,False,False,0,0,0,0,0,0,1,0,0,1,False,False,True,False
460790,Bayonetta,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
460920,Steep™,False,True,1,0,0,0,1,0,0,0,0,0,False,False,True,False
460950,Katana ZERO,False,False,1,0,0,0,0,0,1,0,0,0,False,False,True,False
464060,RUINER,False,False,1,0,0,0,0,0,1,0,0,0,False,False,True,False
464920,Surviving Mars,False,False,0,0,0,0,0,1,0,0,0,1,False,False,True,False
473690,Absolver,False,True,1,1,0,0,0,0,1,0,0,0,True,False,False,False
474960,Quantum Break,False,False,1,0,0,0,0,0,0,0,0,0,False,False,True,False
475550,Beholder,False,False,0,1,0,0,0,1,1,0,0,0,False,False,True,False
481510,Night in the Woods,False,False,0,1,0,0,0,0,0,0,0,0,False,False,True,False
493340,Planet Coaster,False,False,1,1,0,1,0,1,0,0,0,1,False,False,True,False
493520,GTFO,False,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False
493900,Dungeons 3,False,False,0,0,0,0,0,1,0,0,0,1,True,False,False,False
495420,State of Decay 2: Juggernaut Edition,False,False,1,0,0,0,0,0,0,0,1,1,True,False,False,False
501300,What Remains of Edith Finch,False,False,0,1,0,0,0,0,1,0,0,0,False,False,True,False
502500,ACE COMBAT™ 7: SKIES UNKNOWN,False,True,1,0,0,0,0,0,0,0,0,1,False,False,True,False
504230,Celeste,False,False,1,1,0,0,0,0,1,0,0,0,False,False,True,False
504370,Battlerite,True,True,1,0,0,0,0,0,0,0,0,0,False,False,True,False
506610,Five Nights at Freddy's: Sister Location,False,False,1,0,0,0,0,0,1,0,0,1,False,False,True,False
524220,NieR:Automata™,False,False,1,0,0,0,0,0,0,0,1,0,False,False,True,False
526870,Satisfactory,False,False,0,1,0,0,0,1,1,0,0,1,True,False,False,False
527230,For The King,False,True,0,1,0,0,0,1,1,0,1,0,True,False,False,False
527430,"Warhammer 40,000: Inquisitor - Martyr",False,True,1,1,0,0,0,0,1,0,1,0,True,False,False,False
535930,Two Point Hospital,False,False,0,0,0,0,0,0,1,0,0,1,False,False,True,False
